Passa E Fica Cantinho Do Petisco,Lanchonetes,Ponta Negra,(84) 3236-4487,"Av Erivan França, 32 - LJ 3",59090-100
Flávio Gomes De Souza,Bares,Planalto,(84) 3218-0042,"R Cafarnaum, 864",59073-170
H Vision,Construção Civil,Lagoa Seca,(84) 3208-0186,"Av Prudente de Morais, 3166 - SL 103",59022-305
Livraria Mundo Cristão,Livrarias,Alecrim,(84) 3213-1211,"R Doutor Luiz Dutra, 346 - LJ 4",59040-340
Mercadinho Soares,Supermercados,Bom Pastor,(84) 3653-3136,"R Jerusalém, 56",59060-060
Edvania Rejane Barbosa,Bares,Nossa Senhora da Apresentação,(84) 99400-4694,"Av Boa Sorte, 1035",59114-250
Aninha Cabeleireiros Studio,Salões de Beleza e Cabeleireiros,Lagoa Nova,(84) 99988-0634,"Av Senador Salgado Filho, 2190 - LJ 8",59075-000
"Visualle Oticas, Comércio E Serviços",Óticas,Capim Macio,(84) 3206-0609,"Av Senador Salgado Filho, 2233 - V DIRETA",59078-901
Salão Arco-íris,Salões de Beleza e Cabeleireiros,Igapó,(84) 98839-3507,"R Santo Agostinho, 946",59104-240
Francisco Das Chagas De Brito,Bares,Potengi,(84) 3214-8325,"Av Blumenau, 2958 - LJ A",59112-410
Edileuza Fernandes,Roupas e Artigos,Tirol,(84) 3206-5315,"Av Campos Sales, 609 - LJ C",59020-300
Ivanildo Dantas,Móveis em Geral,Cidade Nova,(84) 98706-0942,"R Augusto Calheiros, 673",59072-700
Diego José Da Silva Bedani,Serralherias e Serralheiros,Planalto,(84) 99431-7681,"R Mirassol, 64",59073-220
Armazém Das Cabeceiras,Móveis em Geral,Barro Vermelho,(84) 3645-2239,"R Romualdo Galvão, 728",59022-100
José Anchieta Rodrigues De Almeida,Bares,Lagoa Nova,(84) 3234-1429,"Av Lima e Silva, 1525",59075-710
Raquel Patrícia Franca De Sousa Bezerra,Lojas de Cosméticos e Perfumarias,Alecrim,(84) 99629-4252,"R Francisco Alves, 1744",59040-210
Bio Estética,Salões de Beleza e Cabeleireiros,Candelária,(84) 3234-5115,"R Professor Moura Rabelo, 1905",59064-480
Comercial Unimax,Autopeças e Acessórios,Quintas,(84) 3654-2553,"R Manoel Miranda, 2181",59052-250
Matéria Prima,Papelarias,Ribeira,(84) 99974-9023,"R Juvino Barreto, 257 - SL 9",59012-520
G & C Importação E Exportação,Lojas de Cosméticos e Perfumarias,Tirol,(84) 3322-8009,"Av Bernardo Vieira, 3775 - L 1 LJ 104 A",59015-900
H B Fashion,Roupas e Artigos,Felipe Camarão,(84) 98827-1876,"R Professor Antônio Trigueiro, 36",59074-100
Panificadora Pão Dmel,Padarias e Confeitarias,Nossa Senhora de Nazaré,(84) 99403-9674,"R Joaquim Nabuco, 141",59060-360
Natal Rio Mudanças De Transportes,Transporte Rodoviário,Dix-sept Rosado,(84) 3223-8847,"Av Interventor Mário Câmara, 1792",59054-600
D Griffe Fashion,Roupas e Artigos,Dix-sept Rosado,(84) 3642-2004,"Av Bernardo Vieira, 1500",59054-000
Fornece,Pet Shop,Lagoa Nova,(84) 3201-6806,"Av Antônio Basílio, 2647 - SL C",59054-725
A S L N Comércio De Vasilhames,Produtos e Serviços Diversos,Cidade Nova,(84) 3213-0002,"Av Solange Nunes do Nascimento, 151",59072-500
Medi Rad Serviços De Imagens Médicas,Pronto Socorro,Areia Preta,(84) 99982-2824,"Av Governador Sílvio Pedroza, 314 - APT 701",59014-100
Wxp Construções E Empreendimentos,Construção Civil,Lagoa Nova,(84) 3234-9040,"R Tereza Bezerra Salustino, 1900",59075-225
Feminart Semi Joias,Casa de Material de Construção,Barro Vermelho,(84) 3207-7662,"R Vale de Miranda, 1743 - APT 602",59022-190
Art' S & Papel,Papelarias,Igapó,(84) 99981-1702,"Av Doutor João Medeiros Filho, 479 - 1 LJ 24",59104-200
Centro Educacional Arca De Noe,Escolas,Nossa Senhora da Apresentação,(84) 3664-5214,"R Noel Costa, 83",59115-575
Lv Shokant,Roupas e Artigos,Pajuçara,(84) 3201-9394,"R Norte Brasil, 309",59123-415
Moda Belle,Roupas e Artigos,Alecrim,(84) 98801-8374,"R dos Caicós, 1357",59031-700
Auto Elétrica Orisvan,Autopeças e Acessórios,Potengi,(84) 99415-3570,"R Doutor Augusto C Monteiro de Medeiros, 795 - CASA A",59120-635
Cristo Rei Material De Construção,Casa de Material de Construção,Planalto,(84) 3218-7362,"R Mira Mangue, 496",59073-230
R N Distribuidora,Distribuidores de Gás,Candelária,(84) 99102-2617,"Av do Sol, 3494",59065-600
O Filezinho,Lanchonetes,Capim Macio,(84) 99113-3782,"Av Senador Salgado Filho, 2233 - LJ 505 V DIRETA",59078-901
Estilos Variedades,Roupas e Artigos,Alecrim,(84) 98868-5955,"R Presidente Sarmento, 927 - B1 A",59032-400
Art Café,Lanchonetes,Capim Macio,(84) 3642-3209,"Av Engenheiro Roberto Freire, 1850 - LJ A SEA WAY",59082-400
M Moura Silva,Salões de Beleza e Cabeleireiros,Cidade Alta,(84) 99160-9486,"R Apodi, 240 - SL 1",59025-170
Ck Buffet E Locações,Aluguel de Equipamentos para Eventos e Festas,Lagoa Seca,(84) 3086-2355,"R Tenente Brandão, 441",59031-030
Maxwell Anderson,Conserto de Bombas e Compressores,Mãe Luíza,(84) 4141-1382,"R São Francisco, 83",59014-250
Sindleite - Sindicato Das Indústrias De Lat E Prod Deriv Do Rn,Sindicatos e Federações,Lagoa Nova,(84) 3234-3131,"Av Senador Salgado Filho, 2860",59075-900
Ousadia Intimus,Roupas e Artigos,Capim Macio,(84) 3344-3219,"R Monte Sinai,",59078-360
Laundromat Lavanderia,Lavanderias,Tirol,(84) 3217-6966,"R Açu, 496",59020-110
Nordeste Gráfica,Gráficas,Petrópolis,(84) 3222-1461,"Av Marechal Floriano Peixoto, 529",59020-035
Eli Automecânica,Oficinas Mecânicas,Lagoa Nova,(84) 3206-2701,"Tv Romualdo Galvão, 1503 - lj-A",59056-105
Construtora Norte Brasil,Construção Civil,Lagoa Nova,(84) 3238-2059,"Av Senador Salgado Filho, 1773 - CJ A",59056-000
José Laércio Fereira De Melo,Lojas de Cosméticos e Perfumarias,Barro Vermelho,(84) 99987-7001,"R Noel Rosa, 858 - AP 301",59030-580
Sal Consultoria E Serviços,Empresas Variadas,Lagoa Nova,(31) 3287-5746,"Av Nascimento de Castro, 1924 - SALA: 109;",59056-450
Helson José De Paiva,Dentistas,Lagoa Nova,(84) 3234-1025,"R Murilo Melo, 1916",59054-510
Metalúrgica E Vidraçaria Jucurutu,Metalurgia,Lagoa Seca,(84) 3223-2546,"Av Bernardo Vieira, 3303",59022-385
River Blue,Roupas e Artigos,Bom Pastor,(84) 3223-1365,"Av Miguel Castro, 599 - CS 3",59060-195
Drograria Nobre,Farmácias e Drogarias,Felipe Camarão,(84) 3205-2721,"R Santa Cristina, 794",59072-150
A F Brasil Construções,Construção Civil,Ribeira,(84) 3613-1796,"R Juvino Barreto, 257 - SL 8",59012-520
Fênix Informática,Suporte Técnico para Informática,Cidade Alta,(84) 99992-2385,"R João Pessoa, 265 - SL 110",59025-500
Casa Da Rapadura,Produtos Naturais,Alecrim,(84) 3223-3011,"R Presidente Quaresma, 452",59031-150
Copiadora Padre João Maria,Papelarias,Cidade da Esperança,(84) 3086-5191,"Av Paraíba, 89",59070-200
Prontoneuro Ponta Negra,Radiologia e Diagnóstico por Imagem,Neópolis,(84) 3234-0146,"Av Ayrton Senna, 1970",59088-100
Prime,Empresas Variadas,Capim Macio,(31) 3247-7754,"Av Engenheiro Roberto Freire, 1452",59082-400
Just Man,Roupas e Artigos,Petrópolis,(84) 99988-0421,"Av Afonso Pena, 628 - LJ 9",59020-065
La Tienda,Supermercados,Lagoa Nova,(84) 3222-1893,"Av Bernardo Vieira, 4144",59056-045
Regulauto Peças E Serviços,Autopeças e Acessórios,Igapó,(84) 3214-7330,"Av das Fronteiras, 451",59104-345
Associação Nacional Dos Funcionários Banco Brasil-anabb,Associações de Classe,Cidade Alta,(84) 3201-1914,"R Presidente Passos, 592",59025-410
Thyssenkrupp Elevadores,Serviços para Elevadores,Barro Vermelho,(84) 3221-4879,"R Jaguarari, 1395",59030-500
João Evangelista De Almeida,Endodontistas,Cidade Alta,(84) 3212-1295,"R João Pessoa, 267 - And-7 s-708",59025-902
Vanite Cabelos E Estética,Salões de Beleza e Cabeleireiros,Neópolis,(84) 3207-8368,"Av das Alagoas, 1216 - lj-20",59086-200
Arezzo Natal Shopping,Lojas de Calçados,Lagoa Nova,(84) 3232-0914,"Av Senador Salgado Filho, 2234 - lj-131",59075-000
Potiguar Carimbos,Fabricação e Venda de Carimbos,Alecrim,(84) 3223-2420,"Av Almirante Alexandrino de Alencar, 656",59031-350
Dunas Motel Ponta Negra,Motéis,Capim Macio,(84) 3642-1516,"R Francisco Pignataro, 1853",59082-070
Centro De Reabilitação Oral,Clínicas Odontológicas,Tirol,(84) 3211-0149,"Av Afonso Pena, 1158",59020-100
Depósito De Bebidas Santa Luzia,Distribuidores de Bebidas,Felipe Camarão,(84) 3205-2439,"Tv Nossa Senhora do Rosário, 711",59072-221
